,comp_name
0,Air France
1,Ukraine Intl
2,Air France
3,Ukraine Intl
4,Air France
5,Ukraine Intl
6,Rossiya
7,Air France
8,Czech Airlines
9,Swiss
10,Lufthansa
11,Swiss
12,Air France
13,Ukraine Intl
14,Lufthansa
15,Swiss
16,Air France
17,Swiss
18,Air France
19,Swiss
20,Air France
21,Aeroflot
22,Czech Airlines
23,Air France
24,Czech Airlines
25,Lufthansa
26,Air France
27,Tyrolean
28,Lufthansa
29,Air France
30,Swiss
31,Lufthansa
32,Air France
33,Tyrolean
34,LOT Polish Airlines
35,Lufthansa
36,Lufthansa
37,Air France
38,Swiss
39,Lufthansa
40,SAS
41,Lufthansa
42,LOT Polish Airlines
43,Swiss
44,Air France
45,Czech Airlines
46,SAS
47,Swiss
48,Air France
49,Swiss
50,Lufthansa
51,SAS
52,Lufthansa
53,Swiss
54,Swiss
55,Aeroflot
56,LOT Polish Airlines
57,Lufthansa
58,Air France
59,Czech Airlines
60,Aeroflot
61,Niki Luftfahrt
62,Aeroflot
63,Air France
64,KLM
65,Aeroflot
66,LOT Polish Airlines
67,Swiss
68,SAS
69,Rossiya
70,Air France
71,Aeroflot
72,LOT Polish Airlines
73,SAS
74,Lufthansa
75,SAS
76,SAS
77,Air France
78,Aeroflot
79,KLM
80,Alitalia
81,Niki Luftfahrt
82,Aeroflot
83,Air France
84,KLM
85,Air France
86,Tyrolean
87,British Airways
88,Aeroflot
89,Air France
90,Czech Airlines
91,Air France
92,KLM
93,Aigle Azur
94,Transaero
95,LOT Polish Airlines
96,Air France
97,Tyrolean
98,Lufthansa
99,Air France
100,Tyrolean
101,SAS
102,Air France
103,Tyrolean
104,Tyrolean
105,Lufthansa
106,Lufthansa
107,Lufthansa
108,Aeroflot
109,LOT Polish Airlines
110,SAS
111,Aigle Azur
112,Transaero
113,Aeroflot
114,Air France
115,Aeroflot
116,Air France
117,Alitalia
118,Aeroflot
119,Alitalia
120,Air Berlin
121,Air France
122,Aeroflot
123,Aeroflot
124,Air France
125,Aeroflot
126,Air France
127,Aeroflot
128,Aeroflot
129,Air France
130,Aeroflot
131,Air France
132,Air France
133,Aeroflot
134,Aeroflot
135,Air France
136,Air France
137,Aeroflot
138,Aeroflot
139,Air France
140,Aeroflot
141,Air France
142,Aeroflot
143,LOT Polish Airlines
144,Air France
145,Aeroflot
146,Air France
147,Air France
148,Aeroflot
149,Aeroflot
150,Air France
151,Air France
152,Aeroflot
153,Aeroflot
154,Aeroflot
155,Air France
156,Air France
157,Aeroflot
158,Air France
159,Aeroflot
160,Aeroflot
161,Finnair
162,Aeroflot
163,Aeroflot
164,Air France
165,Aeroflot
166,Air France
167,Air France
168,Aeroflot
169,Aigle Azur
170,Transaero
171,Air France
172,Aeroflot
173,Aigle Azur
174,Transaero
175,Air France
176,Aeroflot
177,Transaero
178,Aeroflot
179,Air France
180,Aeroflot
181,Air France
182,Transaero
