,changes1,changes2,ncomp,options1,options2,price
0,1,2,2,1,2,13710
1,1,2,2,1,2,14167
2,1,2,2,1,2,14530
3,1,2,1,1,2,14547
4,2,1,2,2,1,14553
5,1,1,1,1,1,14824
6,1,1,2,1,1,14930
7,1,2,2,1,2,14987
8,1,3,2,1,3,15120
9,1,2,2,1,2,15383
10,4,1,2,4,1,15597
11,2,1,3,2,1,15598
12,2,3,2,2,3,15598
13,1,1,3,1,1,15670
14,4,1,3,4,1,15704
15,1,3,3,1,3,15854
16,2,1,2,2,1,15876
17,4,3,3,4,3,15893
18,2,1,1,2,1,15897
19,2,1,2,2,1,15902
20,1,1,2,1,1,15958
21,1,3,2,1,3,15981
22,1,1,2,1,1,15983
23,4,2,2,4,2,16156
24,2,1,2,2,1,16289
25,1,1,2,1,1,16513
26,1,1,1,1,1,16540
27,2,2,3,2,2,16975
28,1,3,3,1,3,17088
29,1,2,1,1,2,17091
30,3,6,3,3,6,17343
31,1,2,3,1,2,17590
32,2,1,1,2,1,17668
33,1,2,3,1,2,17728
34,2,1,2,2,1,18059
35,2,1,2,2,1,18080
36,2,1,1,2,1,18085
37,2,6,4,2,6,18086
38,1,2,1,1,2,18113
39,2,6,3,2,6,18363
40,1,1,2,1,1,18381
41,1,1,1,1,1,18467
42,1,1,3,1,1,18508
43,3,1,2,3,1,18517
44,0,0,2,1,2,18568
45,1,1,3,1,1,18760
46,1,1,3,1,1,18775
47,1,1,3,1,1,18786
48,2,1,2,2,1,18792
49,2,1,1,2,1,18828
50,8,1,1,8,1,18847
51,2,2,3,2,2,19158
52,0,0,2,1,2,19337
53,0,0,2,6,4,19847
54,2,1,3,2,1,19876
55,2,3,2,2,3,19922
56,1,1,1,1,1,20229
57,0,0,2,1,4,20656
58,0,0,2,6,3,20656
59,0,0,1,1,3,21465
60,0,0,2,4,4,21776
61,0,0,2,6,2,22275
62,0,0,2,1,4,22275
63,0,0,2,4,2,22637
64,0,0,2,5,4,23076
65,0,0,2,1,2,23084
66,0,0,2,1,3,23084
67,0,0,2,5,2,23937
68,2,1,2,2,1,24394
69,0,0,2,4,1,24582
70,0,0,1,1,2,24703
71,0,0,2,1,4,24798
72,0,0,2,6,1,25512
73,0,0,2,2,4,25512
74,0,0,1,1,2,25659
75,0,0,2,5,1,25882
76,0,0,2,4,3,26304
77,0,0,2,1,1,26321
78,0,0,1,2,3,26321
79,1,1,2,1,1,26619
80,0,0,2,5,3,27604
81,0,0,1,1,1,27604
82,0,0,1,1,1,27940
83,0,0,2,2,2,27940
84,0,0,2,1,2,28261
85,0,0,2,1,3,29326
86,0,0,2,1,2,30259
87,0,0,2,2,1,31177
88,0,0,3,10,1,60293
89,0,0,3,1,10,60393
