,comp_name
0,Air Baltic
1,Czech Airlines
2,Rossiya
3,Air Dolomiti
4,Lufthansa
5,Air Dolomiti
6,Lufthansa
7,Tyrolean
8,Air Dolomiti
9,Lufthansa
10,Air Dolomiti
11,Lufthansa
12,Air Dolomiti
13,Lufthansa
14,Air Dolomiti
15,Lufthansa
16,Lufthansa
17,Tyrolean
18,Lufthansa
19,Air Dolomiti
20,Lufthansa
21,Tyrolean
22,Air Dolomiti
23,Lufthansa
24,Air Dolomiti
25,Lufthansa
26,Air Dolomiti
27,Lufthansa
28,Lufthansa
29,Tyrolean
30,Lufthansa
31,Rossiya
32,Czech Airlines
33,Air Baltic
34,Air Baltic
35,Czech Airlines
36,Rossiya
37,Air Dolomiti
38,Lufthansa
39,Tyrolean
40,Lufthansa
41,Tyrolean
42,Tyrolean
43,Lufthansa
44,Air Dolomiti
45,Tyrolean
46,Air Dolomiti
47,Lufthansa
48,Tyrolean
49,Air Dolomiti
50,Lufthansa
51,Lufthansa
52,Tyrolean
53,Tyrolean
54,Lufthansa
55,Lufthansa
56,Air Dolomiti
57,Lufthansa
58,Tyrolean
59,Lufthansa
60,Lufthansa
61,Air Dolomiti
62,Lufthansa
63,Lufthansa
64,Air Dolomiti
65,Lufthansa
66,Lufthansa
67,Lufthansa
68,Tyrolean
69,Lufthansa
70,Tyrolean
71,Air Baltic
72,Swiss
73,Air Dolomiti
74,Lufthansa
75,Swiss
76,Lufthansa
77,Swiss
78,Tyrolean
79,Swiss
80,Air Dolomiti
81,Lufthansa
82,Swiss
83,Air Dolomiti
84,Lufthansa
85,Swiss
86,Lufthansa
87,Lufthansa
88,Swiss
89,Tyrolean
90,Swiss
91,Lufthansa
92,Air Dolomiti
93,Swiss
94,Rossiya
95,Czech Airlines
96,Swiss
97,Air France
98,Alitalia
99,KLM
100,Alitalia
101,Air France
102,KLM
103,Rossiya
104,Alitalia
105,Air France
106,Rossiya
107,Rossiya
108,Alitalia
109,Aeroflot
110,Air Baltic
111,Rossiya
112,Alitalia
113,Aeroflot
114,Alitalia
115,KLM
116,KLM
117,Alitalia
118,Air France
119,KLM
120,Alitalia
121,Air France
122,Czech Airlines
123,Rossiya
124,Rossiya
125,Air Baltic
126,Air Baltic
127,Tyrolean
128,Tyrolean
129,Air Baltic
130,Czech Airlines
131,Rossiya
132,Rossiya
