,changes1,changes2,ncomp,options1,options2,price
0,1,1,1,1,1,38202
1,1,2,2,1,2,43847
2,2,7,2,2,7,44243
3,2,6,2,2,6,44393
4,2,1,3,2,1,44429
5,4,7,2,4,7,44473
6,2,1,2,2,1,44563
7,1,5,2,1,5,44591
8,4,6,1,4,6,44623
9,4,1,2,4,1,44659
10,1,4,2,1,4,44735
11,1,1,3,1,1,44770
12,4,1,2,4,1,44793
13,2,5,2,2,5,44812
14,2,4,1,2,4,44956
15,2,1,2,2,1,44991
16,1,2,3,1,2,45379
17,1,1,3,1,1,45768
18,1,7,3,1,7,48006
19,1,6,2,1,6,48153
20,1,1,1,1,1,48188
21,1,1,3,1,1,48320
22,1,5,3,1,5,49114
23,1,5,2,1,5,49221
24,1,4,2,1,4,49258
25,1,1,2,1,1,49360
26,1,4,1,1,4,49365
27,2,5,2,2,5,49442
28,2,1,2,2,1,49581
29,2,4,1,2,4,49586
30,2,1,2,2,1,49604
31,4,1,1,4,1,49834
32,2,1,2,2,1,49925
33,4,1,1,4,1,50154
34,1,1,2,1,1,53269
35,1,1,2,1,1,53583
36,2,1,2,2,1,53798
37,1,5,3,1,5,56485
38,1,4,2,1,4,56629
39,1,1,2,1,1,56664
40,2,7,3,2,7,56885
41,1,5,2,1,5,56891
42,2,1,1,2,1,56981
43,1,4,1,1,4,57035
44,2,6,2,2,6,57036
45,2,1,2,2,1,57072
46,2,1,3,2,1,57207
47,2,2,3,2,2,60942
48,1,6,3,1,6,63450
49,6,6,2,6,6,64698
50,1,1,1,1,1,65502
51,10,8,3,10,8,65781
52,0,0,1,1,1,65796
53,25,0,3,25,1,66009
54,0,1,2,1,1,66056
55,25,15,2,25,15,66163
56,2,3,2,2,3,66625
57,6,1,3,6,1,66790
58,10,3,3,10,3,67977
59,0,2,2,1,2,68612
60,1,0,2,1,1,69143
61,1,1,2,1,1,70166
62,1,1,2,1,1,72230
63,1,0,2,1,1,72416
64,0,0,1,1,1,76829
